CATEGORY	BIBTEXKEY	author	title	year	publisher	address	pages	booktitle	editor	journal	volume	number	school	note	url
book	vandenberg2001	van den Berg, Helma	Dargi folktales. Oral stories from the Caucaus with an introduction to Dargi grammar	2001	CNWS	Leiden	NA		NA	NA	NA	NA	NA	NA	NA
incollection	verhees2018	Verhees, Samira	The perfect in Avar and Andi: Cross-linguistic variation among two closely related East Caucasian languages	2018	John Benjamins	Amsterdam	261--280	Tense, aspect, modality and evidentiality: Cross-linguistic perspectives	Ayoun, Dalila and Celle, Agnès and Lansari, Laure	NA	NA	NA	NA	NA	NA
unpublished	verheesnaccarato2019	Verhees, Samira and Naccarato, Chiara	Towards a tentative origin of animacy markers in Botlikh	2019	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA
incollection	wilson2021	Wilson, Daniel J.	A sketch of Sagada morphology	2021	Институт языкознания РАН	Москва	386--410	Дурхъаси хазна. Сборник статей к 60-летию Р. О. Муталова [Durqasi χazna. A collection of papers for R. O. Mutalov’s 60th birthday]	Майсак, Тимур А. and Сумбатова, Нина Р. and Тестелец, Яков Г.	NA	NA	NA	NA	NA	NA
article	xalidova2017	Халидова, Рашидат Ш.	Лингвистический портрет ботлихского языка [A linguistic portrait of the Botlikh language]	2017	NA	NA	77--81		NA	Вестник Академии наук Чеченской республики	34	1	NA	NA	NA
incollection	xalilov1998	Халилов, Маджид Ш.	Цезский язык [Tsez]	1998	Academia	Москва	62--73	Языки мира. Кавказские языки [Languages of the world. Caucasian languages]	Алексеев, Михаил Е. and др.	NA	NA	NA	NA	NA	NA
book	xalilov1999	Халилов, Маджид Ш.	Цезско-русский словарь [Tsez-Russian dictionary]	1999	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	xalilov2015	Халилов, Маджид Ш.	Словарь бежтинского языка [A dictionary of the Bezhta language]	2015	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	xalilovisakov2005	Халилов, Маджид Ш. and Исаков, Исак А.	Гинухско-русский словарь [Hinuq-Russian dictionary]	2005	ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	xanmagomedovshalbuzov2001	Ханмагомедов, Бейдуллах Г-.К. and Шалбузов, Ким Т.	Табасаранско-русский словарь [Tabasaran-Russian dictionary]	2001	Наука	Москва	NA		NA	NA	NA	NA	NA	NA	NA
book	yusupov2014	Юсупов, Хизри А.	Даргинско-русский словарь [Dargwa-Russian dictionary]	2014	Институт истории, языка и литературы им. Г. Цадасы	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	zhirkov1936	Жирков, Лев И.	Аварско-русский словарь [Avar-Russian dictionary]	1936	Государственный институт """"Советская энциклопедия""""	Москва	NA		NA	NA	NA	NA	NA	NA	NA
book	zhirkov1955	Жирков, Лев И.	Лакский язык [Lak]	1955	Академия	Москва	NA		NA	NA	NA	NA	NA	NA	NA
article	martzloff2017	Martzloff, Vincent	The derivational history of ordinal numbers in Armenian, Georgian and other Caucasian languages	2017	Институт языка, литературы и искусства им. Гамзата Цадасы ДНЦ РАН	Махачкала	154—158	Historical linguistics of the Caucasus: Book of abstracts	Отье Ж., Жерарден Э., Магомедов М. И., Майсак Т. А.	NA	NA	NA	NA	NA	NA
